Usia,Status,Rata_rata_screen_time_perhari,Frekuensi_membuka_HP_perhari,Jumlah_aplikasi_media_sosial_aktif_yang_digunakan,Media_sosial_yang_sering_digunakan,Durasi_waktu_tidur_perhari,Jam_tidur,Tidur_larut_karena_sosial_media,Jam_waktu_belajar/bekerja_fokus_sehari,Sulit_fokus_tanpa_mengecek_HP,Sering_membuka_media_sosial_saat_belajar/bekerja,Merasa_cemas_jika_jauh_dari_HP,Sering_membuka_sosial_media_tanpa_tujuan_jelas,Penggunaan_media_sosial_mengganggu_belajar/kerja,Pernah_mencoba_mengurangi_penggunaan_media_sosial_namun_gagal,Tingkat_kecanduan_media_sosial_Anda
19,Mahasiswa,6-8 jam,20 - 50,5-6,"Instagram, Tiktok, Youtube",5-7 jam,22:00,Jarang,4,Sulit,Sering,Tidak,Iya,Iya,Iya,Tinggi
19,Mahasiswa,4-6 jam,20 - 50,3-4,"Instagram, Tiktok, Youtube",5-7 jam,23:00,Sering,6,Sedang,Sering,Iya,Iya,Iya,Iya,Sedang
19,Mahasiswa,2-4 jam,20 - 50,5-6,"Instagram, Tiktok, Youtube",3-5 jam,1:30,Sering,4,Sedang,Jarang,Iya,Iya,Tidak,Tidak,Tinggi
18,Mahasiswa,> 8 jam,> 100,3-4,"X/twitter, Tiktok",5-7 jam,1:00,Sering sekali,4,Sedang,Sering,Tidak,Iya,Iya,Tidak,Tinggi
19,Mahasiswa,4-6 jam,20 - 50,3-4,"Instagram, Tiktok, Youtube",5-7 jam,22:00,Sering,2,Sedang,Sering,Tidak,Iya,Iya,Iya,Sedang
18,Mahasiswa,4-6 jam,20 - 50,3-4,"Instagram, Tiktok, Youtube",> 8 jam,0:00,Sering,3,Sedang,Jarang,Iya,Iya,Iya,Tidak,Sedang
19,Mahasiswa,6-8 jam,50 - 100,5-6,"Instagram, X/twitter, Youtube",5-7 jam,12:00,Sering,2,Sedang,Sering,Tidak,Iya,Tidak,Tidak,Rendah
19,Mahasiswa,> 8 jam,20 - 50,3-4,"Instagram, X/twitter, Tiktok, Youtube",3-5 jam,0:00,Sering,5,Sulit,Sering,Iya,Iya,Iya,Iya,Tinggi
20,Mahasiswa,6-8 jam,50 - 100,3-4,"Instagram, Tiktok, Youtube",5-7 jam,0:00,Sering,6,Sedang,Sering,Iya,Iya,Iya,Iya,Sedang
20,Mahasiswa,> 8 jam,20 - 50,> 7,"Instagram, Tiktok, Youtube",5-7 jam,20:00,Jarang,3,Sulit,Sering,Iya,Iya,Iya,Iya,Tinggi
19,Mahasiswa,2-4 jam,50 - 100,3-4,"Instagram, Youtube, Threads",3-5 jam,0:00,Sering,2,Sedang,Jarang,Iya,Iya,Iya,Iya,Sedang
20,Mahasiswa,4-6 jam,20 - 50,3-4,"Instagram, Tiktok, Youtube",5-7 jam,22:00,Jarang,4,Mudah,Jarang,Tidak,Tidak,Iya,Iya,Rendah
